Uniprot.ID,V_log2.i._TMT_1,V_log2.i._TMT_3,V_log2.i._TMT_5,V_log2.i._TMT_7,V_log2.i._TMT_9,D_log2.i._TMT_2,D_log2.i._TMT_4,D_log2.i._TMT_6,D_log2.i._TMT_8,D_log2.i._TMT_10
Q01581,26.04546226,26.03342064,26.03017962,26.04546226,26.06758481,26.07577552,25.91853119,26.02692585,25.96827697,25.89063405
Q02880,19.59334769,19.50014797,19.42133088,19.49322124,19.66000174,19.34161136,19.4840007,19.45821069,19.43509275,19.33831376
Q96RK0,22.38410403,22.29930198,22.36534953,22.3387436,22.38975095,22.32075172,22.2113696,22.27453303,22.33595881,22.24002622
P47974,20.32248052,20.28081792,20.10657581,20.29625567,20.31328975,20.17312625,20.1449428,20.1449428,20.24470488,20.19215239
Q7Z4H7,22.19363048,22.10621999,22.12186446,22.21624481,22.25414772,22.07578667,22.07843859,22.11784926,22.11264385,22.11264385
Q9H875,22.95335018,22.98955216,23.01257974,22.97637003,22.93719317,23.00551087,22.95817056,22.88642554,22.87692386,22.78443826
A6NDG6,26.26051107,26.24633341,26.17558125,26.25737975,26.33593452,26.18413761,26.14489511,26.16929453,26.25737975,26.15984501
P07741,28.44924808,28.3380709,28.38219281,28.44924808,28.47243023,28.31059538,28.26233517,28.3380709,28.35195563,28.36764578
Q2KHR3,19.83536999,19.76092171,19.89012014,19.9560634,19.9411339,19.78065022,19.7513371,19.78225641,19.86306345,19.72608463
Q9NUU7,24.15897377,24.33983092,24.32518448,24.21184848,24.0714997,24.33110034,24.4087736,24.33983092,24.27775767,24.34116548
Q8IVS2,21.20219075,21.179676,21.18839408,21.20328662,21.23358474,21.14957648,21.11328991,21.15100949,21.16363602,21.0535161
Q99618,22.04812669,21.97866195,22.05113004,22.02271971,22.13229949,21.99132158,21.87063878,22.05751922,22.01384761,21.89879314
Q6P996,21.31647209,21.40770594,21.39793132,21.37755268,21.27350059,21.41828842,21.43530563,21.40369758,21.42055362,21.4499504
